PLACE,state,utility_name,number,pwsid,total_monitoring_and_reporting_other_violations,total_health_based_violations,more_than_5_violations,IF_MORE_THAN_5_year_of_most_recent_violation,IF_MORE_THAN_5_number_of_violations_2016.2020,VIO_Missing,ERROR_CrossChecked_NoViolationData,IF_LESS_THAN_5_number_vio_2016.2020,IF_LESS_THAN_5_year_of_most_recent_violation,Comments,services_provided,county,institutional_arrangement,rate_change_water,rate_change_sewer,year_or_date_of_last_rates_change,median_household_income_in_2017_u_s_census_bureau,approx_number_of_water_connections_epa_sdwis,service_population_approx,source_water,notes_and_assumptions_about_rates_and_calculated_bills,billing_period_water,base_charge_pricing_water,monthly_gallons_provided_with_base_charge_allowance_water,water_rate_structure,number_of_blocks_water,first_block_maximum_monthly_gallons_water,outside_inside_bill_differential_at_5_000_gallons_water,water_zero_gallons_0_cf,water_zero_gallons_outside_0_cf,water_3_000gallons_401_cf,water_3_000gallons_outside_401_cf,water_4_000gallons_535_cf,water_4_000gallons_outside_535_cf,water_5_000gallons_668_cf,water_5_000gallons_outside_668_cf,water_7_000gallons_936_cf,water_7_000gallons_outside_936_cf,water_10_000gallons_1_337_cf,water_10_000gallons_outside_1_337_cf,water_15_000gallons_2_005_cf,water_15_000gallons_outside_2_005_cf,billing_period_sewer,base_charge_pricing_sewer,monthly_gallons_provided_with_base_charge_allowance_sewer,sewer_rate_structure,number_of_blocks_sewer,first_block_maximum_monthly_gallons_sewer,outside_inside_bill_differential_at_5_000_gallons_sewer,sewer_zero_gallons_0_cf,sewer_zero_gallons_outside_0_cf,sewer_3_000gallons_401_cf,sewer_3_000gallons_outside_401_cf,sewer_4_000gallons_535_cf,sewer_4_000gallons_outside_535_cf,sewer_5_000gallons_668_cf,sewer_5_000gallons_outside_668_cf,sewer_7_000gallons_936_cf,sewer_7_000gallons_outside_936_cf,sewer_10_000gallons_1_337_cf,sewer_10_000gallons_outside_1_337_cf,sewer_15_000gallons_2_005_cf,sewer_15_000gallons_outside_2_005_cf,operating_ratio_fy2018_water,operating_ratio_fy2018_sewer,date_of_last_rates_change,median_household_income_in_2016_census_bureau,implied_rate_structure_for_residential_usage_15_000_gallons_month_water,outside_inside_bill_differential_at_6_000_gallons_water,oper_revenue_oper_expense_inc_depreciation_water,water_6_000gallons_802_cf,water_6_000gallons_outside_802_cf,wastewater_rate_structure,implied_rate_structure_for_residential_usage_15_000_gallons_month_sewer,outside_inside_bill_differential_at_6_000_gallons_sewer,oper_revenue_oper_expense_inc_depreciation_sewer,sewer_6_000gallons_802_cf,sewer_6_000gallons_outside_802_cf,x2016_median_household_income_census,x2016_median_house_value_wi_department_of_revenue,estimated_service_population_epa,number_of_accounts_psc,primary_county,water_planning_region_name,implied_uniform_rate_rate_structure_for_residential_usage_15_000_gals_month,oper_revenue_oper_expense_fy2016,monthly_public_fire_protection_charge,water_1_000gallons_137_cf,water_2_000gallons_267_cf,water_8_000gallons_1_069_cf,water_9_000gallons_1_203_cf,old_institutional_arrangement,old_source_water,old_billing_period_water,monthly_bill,old_water_rate_structure,old_billing_period_sewer,old_sewer_rate_structure,STATE.x,noviolations,NEWMostRecentViolationYear,NEWViolations2016.2020,newviolations_2016_2020,finmostrecentviolationyear,No.CDP,CountyCensusData,BinaryCoLoc,CensusPop_fin,PropNonWhite_All_Census_fin,NonWhite_All_Census_fin,PropNonWhite_no2plus_Census_fin,NonWhite_no2plus_Census_fin,PropHispLat_Census_fin,MedHHI_Census_fin,Under100PovLevel_fin,PropUnder100PovLevel_fin,Under150PovLevel_fin,PropUnder150PovLevel_fin,Under200PovLevel_fin,PropUnder200PovLevel_fin,GiniIndex_Census_fin,CensusWhiteProp_fin,CensusBlackProp_fin,CensusAmIndAKProp_fin,CensusAsianProp_fin,CensusNHPIProp_fin,CensusOtherProp_fin,Census2plusProp_fin,Census2plusOtherProp_fin
Clifton town,AZ,Verde Lee Water Company,415,AZ0406004,21,3,Y,2020,13,,,NA,NA,,W,Greenlee,For_Profit,No,NA,6/1/2008,58684,200,450,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,3000,NA,21.25,NA,28.9,NA,32.73,NA,36.56,NA,44.22,NA,55.71,NA,78.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,Arizona,0,2020,13,13,2020,FALSE,0,0,3703,0.088306778,327,0.085876317,318,0.555225493,69472,338,0.092552026,771,0.211117196,1223,0.334884995,0.3479,0.911693222,0.027005131,0.04941939,0.003780718,0,0.005671078,0.002430462,0
Clifton town,AZ,Gonzalez Utility - Loma Linda Water Company,165,AZ0406005,19,0,Y,2020,6,,,NA,NA,,W,Greenlee,For_Profit,Yes,NA,9/1/2015,58684,131,328,GW,NA,Monthly,By Meter Size,1000,Increasing Block,3,4000,NA,21,NA,26,NA,28.5,NA,32.25,NA,39.75,NA,51,NA,69.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,Arizona,0,2020,6,6,2020,FALSE,0,0,3703,0.088306778,327,0.085876317,318,0.555225493,69472,338,0.092552026,771,0.211117196,1223,0.334884995,0.3479,0.911693222,0.027005131,0.04941939,0.003780718,0,0.005671078,0.002430462,0
Clifton town,AZ,Morenci Water and Electric Company- Clifton,255,AZ0406002,7,0,Y,2020,1,,,NA,NA,,W,Greenlee,For_Profit,No,NA,3/1/2015,58684,675,1658,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,3000,NA,10,NA,12.55,NA,14.58,NA,16.61,NA,20.67,NA,27.92,NA,40.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,Arizona,0,2020,1,1,2020,FALSE,0,0,3703,0.088306778,327,0.085876317,318,0.555225493,69472,338,0.092552026,771,0.211117196,1223,0.334884995,0.3479,0.911693222,0.027005131,0.04941939,0.003780718,0,0.005671078,0.002430462,0
Climax city,GA,Climax,104,GA0870003,6,0,Y,NA,NA,Y,Y,NA,NA,,W,Decatur County,Municipality,Yes,NA,1/1/2015,43750,149,359,GW,NA,Monthly,Constant,4000,Uniform Rate,NA,NA,1.357142857,25,35,25,35,25,35,28,38,34,44,43,53,58,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,NA,NA,Georgia,0,NA,NA,NA,NA,FALSE,0,0,203,0.418719212,85,0.408866995,83,0.142857143,43750,35,0.172413793,77,0.379310345,94,0.463054187,0.4131,0.581280788,0.261083744,0,0.004926108,0,0.142857143,0.009852217,0
Clinton village,WI,Clinton,104,WI1540114,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,Yes,NA,9/29/2017,NA,NA,2119,GW,NA,Monthly,Constant,0,Decreasing Block,3,33333,NA,22.71,NA,37.41,NA,42.31,NA,47.21,NA,57.01,NA,71.71,NA,96.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.11,NA,NA,NA,NA,NA,NA,NA,59375,122100,2119,850,Rock,None,Implied Uniform Rate,0.7,13.71,27.61,32.51,61.91,66.81,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,2036,0.104125737,212,0.026522593,54,0.0456778,67109,122,0.062532035,279,0.143003588,404,0.207073296,0.3336,0.895874263,0.012278978,0,0,0,0.014243615,0.077603143,0
Clintonville city,WI,Clintonville,105,WI4690391,4,0,N,NA,NA,,Y,0,2013,,W,NA,Municipality,NA,NA,2/5/2009,NA,NA,4635,GW,NA,Monthly,Constant,0,Decreasing Block,3,10000,NA,22.15,NA,35.35,NA,39.75,NA,44.15,NA,52.95,NA,66.15,NA,86.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.55,NA,NA,NA,NA,NA,NA,NA,36064,91300,4635,2286,Waupaca,East Central,Decreasing Block,1.26,12.15,26.55,30.95,57.35,61.75,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,0,2013,0,0,2013,FALSE,0,0,4384,0.089187956,391,0.059762774,262,0.043111314,44940,847,0.195116333,1234,0.284266298,2030,0.467634186,0.4152,0.910812044,0.000228102,0.032846715,0.00205292,0,0.024635036,0.029425182,0
Clyman village,WI,Clyman,106,WI1140140,0,1,N,NA,NA,,,0,2013,,W,NA,Municipality,Yes,NA,5/1/2016,NA,NA,422,GW,NA,Monthly,Constant,0,Increasing/Decreasing Block,3,8000,NA,39.84,NA,44.19,NA,45.64,NA,47.09,NA,49.99,NA,53.32,NA,58.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.54,NA,NA,NA,NA,NA,NA,NA,42813,113200,422,185,Dodge,None,Increasing/Decreasing Block,0.97,30.55,41.29,42.74,51.44,52.38,Municipality,G,Monthly,1,Increasing/Decreasing Block,NA,NA,Wisconsin,0,2013,0,0,2013,FALSE,0,0,401,0.164588529,66,0.159600998,64,0.034912718,58125,20,0.05,52,0.13,91,0.2275,0.3373,0.835411471,0.092269327,0.007481297,0.054862843,0,0.004987531,0.004987531,0
Cobb County,GA,Cobbtown,106,GA2670000,0,0,N,NA,NA,,,NA,NA,,W,Cobb County,Municipality,No,NA,7/1/2018,34375,209,596,GW,NA,Monthly,Constant,2000,Increasing Block,2,9000,NA,12,NA,14,NA,16,NA,18,NA,22,NA,29,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,NA,NA,NA,1,NA,0,0,NA,TRUE,1,1,751218,0.413669534,310756,0.383068563,287768,0.12976393,77932,67319,0.091018238,123094,0.166428482,179961,0.243315157,0.4501,0.586330466,0.275631042,0.002583804,0.053607608,0.000544449,0.050701661,0.030600971,0.004697704
Cobb County,GA,Cobb County,105,GA0670003,0,0,N,NA,NA,,,NA,NA,,B,Cobb County,Other_Govt,Yes,Yes,9/1/2018,71244,140000,533000,Other,Base charges modeled here as split evenly between water and sewer. Has senior discounts.,Monthly,By Meter Size,1000,Increasing Block,5,3000,1.026714159,7,7,13.8,13.32,17.77,18.19,22.46,23.6,31.84,32.8,45.91,47.41,69.36,71.76,Monthly,By Meter Size,0,Uniform Rate,NA,NA,1.030470914,7,7,24.46,25.12,3.28,31.16,36.1,37.2,47.74,49.28,65.2,67.4,94.3,97.6,1.46,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,County/District,P,Monthly,1,Increasing Block,Monthly,Uniform Rate,NA,1,NA,0,0,NA,TRUE,1,1,751218,0.413669534,310756,0.383068563,287768,0.12976393,77932,67319,0.091018238,123094,0.166428482,179961,0.243315157,0.4501,0.586330466,0.275631042,0.002583804,0.053607608,0.000544449,0.050701661,0.030600971,0.004697704
Cobb village,WI,Cobb,107,WI1250076,30,0,Y,2020,28,,,NA,NA,,W,NA,Municipality,Yes,NA,1/4/2017,NA,NA,458,GW,NA,Quarterly,Constant,0,Decreasing Block,3,83333,NA,22.52,NA,32.33,NA,35.6,NA,38.87,NA,45.41,NA,55.22,NA,71.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.14,NA,NA,NA,NA,NA,NA,NA,53393,117300,458,229,Iowa,South Western,Implied Uniform Rate,1.04,15.13,25.79,29.06,48.68,51.95,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,0,2020,28,28,2020,FALSE,0,0,473,0,0,0,0,0,54063,33,0.069767442,55,0.11627907,96,0.202959831,0.4044,1,0,0,0,0,0,0,0
Cochise County,AZ,"Liberty Utilities-Hereford, Bella Vista Water, Huachuca City, Sierra Vista, Whetstone, Northern Sunrise, Southern Sunrise",223,AZ0402019,14,0,Y,2020,8,,,NA,NA,,W,Cochise,For_Profit,NA,NA,11/1/2016,47847,10196,25524,GW,Water base charge includes $0.28 surcharge.,Monthly,By Meter Size,0,Increasing Block,3,4000,NA,17.17,NA,22.69,NA,24.53,NA,27.37,NA,33.05,NA,41.57,NA,59.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,NA,0,2020,8,8,2020,TRUE,1,1,125867,0.145280336,18286,0.103950996,13084,0.354548849,49260,19476,0.166099527,34116,0.29095561,47821,0.407837619,0.4427,0.854719664,0.040773197,0.01241787,0.019425266,0.003829439,0.027505224,0.04132934,0.005728269
Cochise County,AZ,"Liberty Utilities-Hereford, Bella Vista Water, Huachuca City, Sierra Vista, Whetstone, Northern Sunrise, Southern Sunrise",223,AZ0402038,6,0,Y,2016,2,,,NA,NA,,W,Cochise,For_Profit,NA,NA,11/1/2016,47847,10196,25524,GW,Water base charge includes $0.28 surcharge.,Monthly,By Meter Size,0,Increasing Block,3,4000,NA,17.17,NA,22.69,NA,24.53,NA,27.37,NA,33.05,NA,41.57,NA,59.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,NA,0,2016,2,2,2016,TRUE,1,1,125867,0.145280336,18286,0.103950996,13084,0.354548849,49260,19476,0.166099527,34116,0.29095561,47821,0.407837619,0.4427,0.854719664,0.040773197,0.01241787,0.019425266,0.003829439,0.027505224,0.04132934,0.005728269
Cochise County,AZ,"Liberty Utilities-Hereford, Bella Vista Water, Huachuca City, Sierra Vista, Whetstone, Northern Sunrise, Southern Sunrise",223,AZ0402013,2,0,N,NA,NA,,Y,0,2015,,W,Cochise,For_Profit,NA,NA,11/1/2016,47847,10196,25524,GW,Water base charge includes $0.28 surcharge.,Monthly,By Meter Size,0,Increasing Block,3,4000,NA,17.17,NA,22.69,NA,24.53,NA,27.37,NA,33.05,NA,41.57,NA,59.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,NA,0,2015,0,0,2015,TRUE,1,1,125867,0.145280336,18286,0.103950996,13084,0.354548849,49260,19476,0.166099527,34116,0.29095561,47821,0.407837619,0.4427,0.854719664,0.040773197,0.01241787,0.019425266,0.003829439,0.027505224,0.04132934,0.005728269
Cochise County,AZ,"Liberty Utilities-Hereford, Bella Vista Water, Huachuca City, Sierra Vista, Whetstone, Northern Sunrise, Southern Sunrise",223,AZ0402004,1,0,N,NA,NA,,,0,2015,,W,Cochise,For_Profit,NA,NA,11/1/2016,47847,10196,25524,GW,Water base charge includes $0.28 surcharge.,Monthly,By Meter Size,0,Increasing Block,3,4000,NA,17.17,NA,22.69,NA,24.53,NA,27.37,NA,33.05,NA,41.57,NA,59.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,NA,0,2015,0,0,2015,TRUE,1,1,125867,0.145280336,18286,0.103950996,13084,0.354548849,49260,19476,0.166099527,34116,0.29095561,47821,0.407837619,0.4427,0.854719664,0.040773197,0.01241787,0.019425266,0.003829439,0.027505224,0.04132934,0.005728269
Cochise County,AZ,Clear Springs Utility Company,86,AZ0402008,4,0,N,NA,NA,,Y,3,2019,,B,Cochise,For_Profit,No,No,5/22/2017,47847,531,1436,GW,Surcharges are included in water and sewer base charges.,Monthly,Constant,0,Increasing Block,3,3000,NA,35.57,NA,45.47,NA,49.77,NA,54.07,NA,62.67,NA,77.67,NA,104.42,NA,Monthly,Constant,0,Uniform Rate,NA,NA,NA,17.38,NA,19.63,NA,20.38,NA,21.13,NA,22.63,NA,22.63,NA,22.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,M,Uniform Rate with a Cap,NA,0,2019,3,3,2019,TRUE,1,1,125867,0.145280336,18286,0.103950996,13084,0.354548849,49260,19476,0.166099527,34116,0.29095561,47821,0.407837619,0.4427,0.854719664,0.040773197,0.01241787,0.019425266,0.003829439,0.027505224,0.04132934,0.005728269
Cochise County,AZ,Pomerene Domestic Water Improvement District,304,AZ0402012,37,4,Y,2020,26,,,NA,NA,,W,Cochise,Other_Govt,NA,NA,1/1/2014,31844,362,1005,GW,NA,Monthly,By Meter Size,0,Increasing/Decreasing Block,3,5000,NA,29,NA,33.05,NA,34.4,NA,35.75,NA,38.25,NA,42,NA,48.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DWID,Groundwater,M,1,Increasing/Decreasing Block,NA,NA,NA,0,2020,26,26,2020,TRUE,1,1,125867,0.145280336,18286,0.103950996,13084,0.354548849,49260,19476,0.166099527,34116,0.29095561,47821,0.407837619,0.4427,0.854719664,0.040773197,0.01241787,0.019425266,0.003829439,0.027505224,0.04132934,0.005728269
Cochise County,AZ,"Liberty Utilities-Hereford, Bella Vista Water, Huachuca City, Sierra Vista, Whetstone, Northern Sunrise, Southern Sunrise",223,AZ0402010,6,0,Y,2014,0,,,NA,NA,,W,Cochise,For_Profit,NA,NA,11/1/2016,47847,10196,25524,GW,Water base charge includes $0.28 surcharge.,Monthly,By Meter Size,0,Increasing Block,3,4000,NA,17.17,NA,22.69,NA,24.53,NA,27.37,NA,33.05,NA,41.57,NA,59.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,NA,0,2014,0,0,2014,TRUE,1,1,125867,0.145280336,18286,0.103950996,13084,0.354548849,49260,19476,0.166099527,34116,0.29095561,47821,0.407837619,0.4427,0.854719664,0.040773197,0.01241787,0.019425266,0.003829439,0.027505224,0.04132934,0.005728269
Cochran city,GA,Cochran,107,GA0230000,0,0,N,NA,NA,,,NA,NA,,B,Bleckley County,Municipality,No,No,9/1/2015,27731,2183,5244,GW,NA,Monthly,Constant,1000,Uniform Rate,NA,NA,1.555555556,14,25,2.5,33.5,23.75,37.75,27,42,33.5,5.5,43.25,63.25,59.5,84.5,Monthly,Constant,1000,Uniform Rate,NA,NA,1.384615385,12,2,19,28,22.5,32,26,36,33,44,43.5,56,61,76,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,1,NA,0,0,NA,FALSE,0,0,4921,0.521845153,2568,0.50152408,2468,0.049989839,35000,932,0.253329709,1469,0.399293286,2204,0.599075836,0.4716,0.478154847,0.459256249,0.002438529,0.004877058,0,0.034952245,0.020321073,0
Cochrane village,WI,Cochrane,108,WI6060226,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,Yes,NA,10/1/2015,NA,NA,450,GW,NA,Quarterly,Constant,0,Decreasing Block,3,6233,NA,15.79,NA,27.42,NA,31.3,NA,35.18,NA,42.01,NA,50.03,NA,63.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.05,NA,NA,NA,NA,NA,NA,NA,51875,101200,450,216,Buffalo,Mississippi River,Decreasing Block,1.72,10.79,19.67,23.55,44.68,47.36,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,392,0.007653061,3,0.00255102,1,0.00255102,63125,29,0.073979592,77,0.196428571,103,0.262755102,0.368,0.992346939,0.00255102,0,0,0,0,0.005102041,0
Coconino County,AZ,Stoneman Lake Water Company,367,AZ0403023,46,0,Y,2020,16,,,NA,NA,,W,Coconino,For_Profit,NA,NA,6/14/1965,53523,68,204,GW,NA,Monthly,Constant,2500,Uniform Rate,NA,NA,NA,10,NA,10.5,NA,11.5,NA,12.5,NA,14.5,NA,17.5,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Uniform Rate,NA,NA,NA,0,2020,16,16,2020,TRUE,1,1,141274,0.360582981,50941,0.324412135,45831,0.141080454,59460,22539,0.176029553,34994,0.273303083,47146,0.368210183,0.4667,0.639417019,0.012330648,0.265469938,0.019578974,0.001663434,0.025369141,0.036170845,0.003517986
Coconino County,AZ,Badger Creek Domestic Water Improvement District,40,AZ0403390,24,0,Y,2019,4,,,NA,NA,,W,Coconino,Other_Govt,NA,NA,7/1/2014,60000,17,30,GW,NA,Other,Constant,0,Flat,NA,NA,NA,25,NA,25,NA,25,NA,25,NA,25,NA,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DWID,Groundwater,O,0,Non-Volumetric Flat Fee,NA,NA,NA,0,2019,4,4,2019,TRUE,1,1,141274,0.360582981,50941,0.324412135,45831,0.141080454,59460,22539,0.176029553,34994,0.273303083,47146,0.368210183,0.4667,0.639417019,0.012330648,0.265469938,0.019578974,0.001663434,0.025369141,0.036170845,0.003517986
Coconino County,AZ,Bellemont Water Company,44,AZ0403394,65,7,Y,2020,23,,,NA,NA,,W,Coconino,For_Profit,No,NA,9/1/2010,53523,8,100,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,4000,NA,16,NA,61,NA,76,NA,98.5,NA,143.5,NA,211,NA,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,NA,0,2020,23,23,2020,TRUE,1,1,141274,0.360582981,50941,0.324412135,45831,0.141080454,59460,22539,0.176029553,34994,0.273303083,47146,0.368210183,0.4667,0.639417019,0.012330648,0.265469938,0.019578974,0.001663434,0.025369141,0.036170845,0.003517986
Coconino County,AZ,Oak Creek Utility Corporation,270,AZ0403004,2,0,N,NA,NA,,Y,0,2013,,B,Coconino,For_Profit,No,No,8/1/2005,53523,34,62,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,3000,NA,30,NA,38.7,NA,42.7,NA,46.7,NA,54.7,NA,66.7,NA,86.7,NA,Monthly,Constant,0,Uniform Rate,NA,NA,NA,20,NA,26.75,NA,29,NA,31.25,NA,35.75,NA,42.5,NA,53.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,M,Uniform Rate,NA,0,2013,0,0,2013,TRUE,1,1,141274,0.360582981,50941,0.324412135,45831,0.141080454,59460,22539,0.176029553,34994,0.273303083,47146,0.368210183,0.4667,0.639417019,0.012330648,0.265469938,0.019578974,0.001663434,0.025369141,0.036170845,0.003517986
Coconino County,AZ,Starlight Water Company,366,AZ0403063,3,0,N,NA,NA,,Y,1,2019,,W,Coconino,For_Profit,Yes,NA,4/1/2003,53523,656,1920,GW,NA,Monthly,By Meter Size,0,Increasing Block,4,4000,NA,33.7,NA,44.2,NA,47.7,NA,52.7,NA,62.7,NA,77.7,NA,117.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,NA,0,2019,1,1,2019,TRUE,1,1,141274,0.360582981,50941,0.324412135,45831,0.141080454,59460,22539,0.176029553,34994,0.273303083,47146,0.368210183,0.4667,0.639417019,0.012330648,0.265469938,0.019578974,0.001663434,0.025369141,0.036170845,0.003517986
